[08/17 01:51:15.926222][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_RGB888, width: 640, height: 480, fps: 30}
[08/17 01:51:15.926263][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_RGB888, width: 640, height: 480, fps: 15}
[08/17 01:51:15.926304][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_RGB888, width: 640, height: 480, fps: 10}
[08/17 01:51:15.926347][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_RGB888, width: 640, height: 480, fps: 5}
[08/17 01:51:15.926390][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_RGB888, width: 848, height: 480, fps: 60}
[08/17 01:51:15.926432][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_RGB888, width: 848, height: 480, fps: 30}
[08/17 01:51:15.926495][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_RGB888, width: 848, height: 480, fps: 15}
[08/17 01:51:15.926538][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_RGB888, width: 848, height: 480, fps: 10}
[08/17 01:51:15.926579][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_RGB888, width: 848, height: 480, fps: 5}
[08/17 01:51:15.926623][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_RGB888, width: 1280, height: 720, fps: 60}
[08/17 01:51:15.926667][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_RGB888, width: 1280, height: 720, fps: 30}
[08/17 01:51:15.926710][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_RGB888, width: 1280, height: 720, fps: 15}
[08/17 01:51:15.926775][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_RGB888, width: 1280, height: 720, fps: 10}
[08/17 01:51:15.926818][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_RGB888, width: 1280, height: 720, fps: 5}
[08/17 01:51:15.926861][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_RGB888, width: 1280, height: 800, fps: 60}
[08/17 01:51:15.926903][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_RGB888, width: 1280, height: 800, fps: 30}
[08/17 01:51:15.926945][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_RGB888, width: 1280, height: 800, fps: 15}
[08/17 01:51:15.926987][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_RGB888, width: 1280, height: 800, fps: 10}
[08/17 01:51:15.927029][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_RGB888, width: 1280, height: 800, fps: 5}
[08/17 01:51:15.927073][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_RGBA, width: 424, height: 240, fps: 60}
[08/17 01:51:15.927115][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_RGBA, width: 424, height: 240, fps: 30}
[08/17 01:51:15.927158][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_RGBA, width: 424, height: 240, fps: 15}
[08/17 01:51:15.927200][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_RGBA, width: 424, height: 240, fps: 10}
[08/17 01:51:15.927243][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_RGBA, width: 424, height: 240, fps: 5}
[08/17 01:51:15.927286][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_RGBA, width: 480, height: 270, fps: 60}
[08/17 01:51:15.927329][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_RGBA, width: 480, height: 270, fps: 30}
[08/17 01:51:15.927370][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_RGBA, width: 480, height: 270, fps: 15}
[08/17 01:51:15.927413][info][40173][VideoSensor.cpp:386]  - {type: OB_STREAM_COLOR, format: OB_FORMAT_RGBA, width: 480, height: 270, fps: 10}
